course_id,course,city,state,street,zip_code,lng,lat,hole,public_private,golf_season,beg_mnth,end_mnth,championship_par,championship_yards,championship_slope,championship_usga,middle_par,middle_yards,middle_slope,middle_usga,forward_par,forward_yards,forward_slope,forward_usga
4657,Westmoreland Country Club,Wilmette,Illinois,2601 Old Glenview Rd,60091,-87.7403733,42.0666334,18,Private,Open: 3/01 Closed: 11/30,3,11,72,6727,132,72.70,72,6405,128,71.40,73,5826,131,74.40
4661,Klein Creek Golf Club,Winfield,Illinois,1 N 333 Pleasant Hill Rd,60190,-88.1359842,41.8787569,18,Public,Open: 4/01 Closed: 12/01,4,11,72,6701,127,72.10,72,6266,124,70.10,72,4909,110,66.20
4664,Regulation at Winnetka Golf Club,Winnetka,Illinois,1300 Oak St,60093,-87.7526626,42.1045112,18,Public,Open: 4/01 Closed: 10/31,4,10,71,6472,125,70.90,71,6194,122,69.90,71,5740,124,73.30
4668,Seven Bridges Golf Club,Woodridge,Illinois,1 Mulligan Dr,60517,-88.0741208,41.7704475,18,Public,Open: 4/01 Closed: 10/31,4,10,72,7103,135,74.60,72,6681,130,72.30,72,5262,121,70.40
4670,Village Greens of Woodridge,Woodridge,Illinois,1575 W 75th St,60517,-88.0256084,41.7490302,18,Public,year round,1,12,72,6650,121,71.20,72,6290,117,69.60,73,5847,119,72.20
4671,Belk Park Golf Course,Wood River,Illinois,880 Belk Park Rd,62095,-90.04474560000001,38.86398579999999,18,Public,year round,1,12,72,6812,121,71.50,72,6457,118,70.70,73,5709,118,71.80
4673,Bull Valley Golf Club,Woodstock,Illinois,1311 Club Rd,60098,-88.41133200000002,42.306716,18,Private,Open: 4/01 Closed: 10/31,4,10,72,7319,147,76.50,72,6997,143,74.90,72,5157,128,72.10
4674,Crystal Woods Golf Club,Woodstock,Illinois,5915 S Route 47,60098,-88.42046669999999,42.244159,18,Semi-Private,Open: 3/01 Closed: 11/30,3,11,72,6403,117,70.30,72,6150,115,69.10,73,5488,114,70.50
4676,Water's Edge Golf Club,Worth,Illinois,7205 W 115th St,60482,-87.7996945,41.6811586,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6904,131,72.90,72,6533,127,71.30,72,5323,122,70.40
4678,Shiloh Park Golf Course,Zion,Illinois,2400 Dowie Memorial Dr,60099,-87.83156609999999,42.4513262,9,Public,Open: 3/01 Closed: 11/01,3,10,35,2863,118,34.20,35,2695,115,33.70,35,2348,111,33.40
5146,River Valley Golf Course,Adel,Iowa,2267 Valley View Trl,50003,-94.03178720000001,41.6507265,18,Public,Open: 2/01 Closed: 12/15,2,12,72,6700,121,71.10,72,6218,118,69.30,72,5452,114,67.40
5157,Amana Colonies Golf Course,Amana,Iowa,451 27th Ave,52203,-91.90495279999999,41.8085369,18,Public,Open: 3/15 Closed: 11/01,3,10,72,6824,136,73.30,72,6483,129,71.10,72,5228,115,69.70
5158,Ames Golf & Country Club,Ames,Iowa,5725 George Washington Carver Ave,50010,-93.6593941,42.0757579,18,Private,Open: 4/01 Closed: 10/31,4,10,71,6515,116,72.10,71,6170,113,70.10,73,5485,116,72.20
5161,Veenker Memorial Golf Course,Ames,Iowa,Stange Rd,50011,-93.6449523,42.0462938,18,Public,Open: 3/15 Closed: 11/15,3,11,72,6543,124,71.30,72,6086,120,69.20,73,5357,108,65.60
5171,Atlantic Golf & Country Club,Atlantic,Iowa,102 W 29th St,50022,-95.01491419999999,41.3845175,18,Private,Open: 4/01 Closed: 11/01,4,10,69,6187,116,68.80,69,5746,113,67.50,70,5218,113,69.50
5183,Palmer Hills Golf Course,Bettendorf,Iowa,2999 Middle Rd,52722,-90.4893894,41.549101,18,Public,Open: 3/15 Closed: 11/15,3,11,71,6538,124,71.50,71,6323,123,70.60,71,5923,128,68.90
5186,Breda Golf Club,Breda,Iowa,Hwy 217 E,51436,-94.9769338,42.1816509,9,Public,year round,1,12,35,3045,105,34.10,35,2840,101,33.20,36,2430,108,35.20
5190,"Gruis Recreation Area, The Barn",Buffalo Center,Iowa,2724 360th St,50424,-93.939065,43.2859227,9,Public,Open: 4/01 Closed: 11/01,4,10,36,3230,114,35.10,36,2964,110,34.10,36,2839,113,35.90
5191,Burlington Golf Club,Burlington,Iowa,2124 Sunnyside Ave,52601,-91.1221199,40.8337162,18,Private,Open: 4/01 Closed: 11/01,4,10,72,6529,127,71.40,72,6139,122,69.60,72,5482,115,71.10
5195,Carroll Country Club,Carroll,Iowa,Hwy 30 E,51401,-94.8701119,42.0664401,18,Private,Open: 4/01 Closed: 11/01,4,10,71,6219,122,70.40,71,5864,119,69.60,71,4724,117,70.20
5197,Shoreline Golf Course,Carter Lake,Iowa,210 E Locust St,51510,-95.92749970000001,41.28615629999999,18,Public,year round,1,12,72,6731,124,71.90,72,6052,113,69.00,72,5553,107,66.00
5200,Beaver Hills Country Club,Cedar Falls,Iowa,8230 Beaver Hills Dr,50613,-92.50873059999999,42.5700346,18,Private,Open: 4/01 Closed: 10/31,4,10,72,6848,126,73.00,72,6550,123,71.60,72,5276,114,70.70
5201,Pheasant Ridge at Pheasant Ridge,Cedar Falls,Iowa,3205 W 12th St,50613,-92.48395,42.527657,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6730,119,72.50,72,6530,112,71.60,72,5413,101,68.40
5204,Cedar Rapids Country Club,Cedar Rapids,Iowa,550 27th St SE,52402,-91.62762070000001,42.0027602,18,Private,Open: 3/01 Closed: 12/31,3,12,72,6601,125,72.00,72,6206,122,70.20,73,5413,121,70.90
5205,Ellis Park Golf Course,Cedar Rapids,Iowa,1401 Zika Ave NW,52405,-91.6941504,41.9999019,18,Public,Open: 3/01 Closed: 11/01,3,10,72,6648,124,72.00,72,6410,120,70.80,72,5210,103,68.00
5206,Elmcrest Country Club,Cedar Rapids,Iowa,1000 36th St NE,52402,-91.650663,42.015907,18,Private,Open: 3/01 Closed: 11/01,3,10,70,6280,121,70.10,70,5795,118,68.50,72,5312,113,70.60
5208,St. Andrews Golf Club,Cedar Rapids,Iowa,1866 Blairs Ferry Rd NE,52402,-91.663263,42.039394,18,Semi-Private,year round,1,12,70,6230,118,69.80,70,5747,116,68.90,71,5019,108,67.30
5215,Cedar Bend Golf,Charles City,Iowa,2147 Underwood Ave,50616,-92.6334994,43.0449693,18,Public,Open: 2/01 Closed: 12/01,2,11,72,6765,118,71.80,72,6231,113,69.50,72,5337,113,69.70
5222,Pleasant Valley Sports Club,Clermont,Iowa,24749 Canoe Rd,52135,-91.65568739999999,42.9908361,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,36,3095,122,34.50,36,2962,117,34.00,36,2651,110,34.60
5225,Clinton Country Club,Clinton,Iowa,1501 Harrison Dr,52732,-90.2185579,41.8274938,18,Private,Open: 3/15 Closed: 11/30,3,11,72,6516,125,71.90,72,6348,123,71.20,72,5335,116,69.90
5226,Eighteen Hole at Valley Oaks Golf Club,Clinton,Iowa,3330 Harts Mill Rd,52732,-90.2650255,41.8273185,18,Semi-Private,Open: 3/15 Closed: 11/15,3,11,72,6803,127,73.00,72,6322,123,71.20,73,5337,121,70.30
5233,Brown Deer Golf Club,Coralville,Iowa,1900 Country Club Dr,52241,-91.56748689999999,41.7020804,18,Semi-Private,Open: 3/01 Closed: 11/01,3,10,71,6315,126,71.0,71,5853,123,69.2,71,5367,116,66.4
5238,Lakeshore Country Club,Council Bluffs,Iowa,4500 Piute St,51501,-95.85191720000002,41.2130557,18,Private,Open: 4/01 Closed: 11/15,4,11,71,6234,120,69.60,71,6054,119,68.70,72,5391,113,70.20
5239,Fox Run at Fox Run Golf Course,Council Bluffs,Iowa,3001 Macineery Dr,51501,-95.8927202,41.2105973,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6278,117,70.30,71,5920,114,68.40,71,4968,115,69.20
5241,Cresco Country Club,Cresco,Iowa,22005 115th St,52136,-92.1395,43.34976839999999,9,Private,Open: 4/01 Closed: 11/01,4,10,36,2971,116,35.00,36,2876,116,34.20,37,2751,113,35.50
5243,Crow Valley Golf Club,Davenport,Iowa,4315 E 60th St,52807,-90.5033397,41.583862,18,Private,Open: 4/01 Closed: 11/01,4,10,71,6715,133,73.00,71,6074,125,70.10,71,5284,121,71.20
5245,Duck Creek Golf Course,Davenport,Iowa,3000 E Locust,52803,-90.52840289999999,41.538461,18,Public,Open: 4/01 Closed: 11/01,4,10,70,5782,113,66.90,70,5630,112,66.40,74,5512,112,70.20
5246,Emeis Municipal Golf Course,Davenport,Iowa,4500 W Central Park Ave,52804,-90.6409669,41.5451615,18,Public,Open: 4/01 Closed: 11/05,4,11,72,6463,120,71.90,72,6211,115,70.80,74,5549,115,74.00
5248,Oneota Golf & Country Club,Decorah,Iowa,1714 Golf Rd,52101,-91.7340492,43.3060483,18,Semi-Private,Open: 4/01 Closed: 11/15,4,11,72,6472,122,70.60,72,6167,118,69.50,72,5656,111,70.70
5254,A. H. Blank Golf Course,Des Moines,Iowa,808 County Line Rd,50320,-93.603597,41.5121487,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6715,126,72.10,72,6435,121,71.20,72,5617,116,71.20
5255,Echo Valley Country Club,Des Moines,Iowa,760 County Line Rd,50321,-93.6633399,41.5115768,18,Private,Open: 3/15 Closed: 12/01,3,11,72,6891,130,73.70,72,6408,128,71.70,72,5488,115,68.40
5257,Wakonda Club,Des Moines,Iowa,3915 Fleur Dr,50321,-93.6416893,41.5504927,18,Private,year round,1,12,72,6881,135,74.90,72,6493,132,72.80,75,5795,128,72.90
5258,Waveland Municipal Golf Course,Des Moines,Iowa,4908 University Ave,50311,-93.688716,41.596535,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6437,126,71.40,72,6289,121,70.20,72,5323,109,69.40
5264,"Meadows Golf Club, The",Dubuque,Iowa,15766 Clover Ln,52002,-90.7960035,42.5139045,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6667,132,72.60,72,6247,126,70.50,72,5199,114,68.70
5265,Dubuque Golf & Country Club,Dubuque,Iowa,1800 Randall Pl,52003,-90.68177899999999,42.48478799999999,18,Private,Open: 4/01 Closed: 11/01,4,10,70,5852,121,68.90,70,5604,121,68.10,70,4963,113,69.10
5272,Woods Edge Golf Course,Edgewood,Iowa,Route 1,52044,-91.4012515,42.6444313,9,Public,Open: 4/01 Closed: 11/01,4,10,36,3286,121,35.80,36,3173,120,35.30,36,2957,114,36.00
5275,Elkader Golf & Country Club,Elkader,Iowa,Gunder Rd NE,52043,-91.3989976,42.8683599,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,33,2897,97,33.60,33,2719,97,33.10,33,2418,97,32.50
5289,Fort Dodge Country Club,Fort Dodge,Iowa,Hwy 7 & 169,50501,-93.118054,35.366145,18,Private,Open: 4/01 Closed: 11/01,4,10,71,6512,120,70.50,71,6214,118,68.40,71,5206,115,70.00
5290,Lakeside Municipal Golf Course,Fort Dodge,Iowa,Rural Route 2,50501,-94.16801579999999,42.4974694,18,Public,Open: 4/01 Closed: 10/31,4,10,72,6436,114,70.10,72,6212,114,69.50,72,5540,109,69.80
5303,Jester Park at Jester Park Golf Club,Granger,Iowa,Route 1,50109,-93.8270472,41.75906080000001,18,Public,Open: 4/01 Closed: 11/01,4,10,71,6856,125,72.90,71,6560,123,71.50,72,4993,109,68.40
5305,Beaver Creek Golf Course,Grimes,Iowa,11200 NW Towner Dr,50111,-93.770056,41.72092,18,Public,Open: 4/01 Closed: 10/31,4,10,72,6685,121,71.80,72,6207,117,69.70,72,5245,122,70.40
5306,Grinnell Golf & Country Club,Grinnell,Iowa,933 13th Ave,50112,-92.7231842,41.7560205,9,Private,Open: 4/01 Closed: 11/01,4,10,35,3095,118,34.90,35,2850,115,34.00,35,2418,112,33.50
5313,Harlan Golf & Country Club,Harlan,Iowa,2503 12th St,51537,-95.32601749999999,41.64412360000001,9,Semi-Private,Open: 3/01 Closed: 12/01,3,11,36,3417,122,36.10,36,3232,118,35.30,37,2960,118,36.70
5317,Town & Country Recreation Area,Holstein,Iowa,400 Kofmehl Dr,51025,-95.54064799999999,42.4778196,9,Private,Open: 4/15 Closed: 11/30,4,11,35,3126,113,34.00,35,2857,112,33.80,35,2661,110,34.80
5323,Wapsipinicon Golf Club,Independence,Iowa,1749 Golf Course Rd,50644,-91.930499,42.4838293,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,36,3187,116,35.40,36,3020,115,35.40,37,2777,113,35.40
5324,Indianola Country Club,Indianola,Iowa,1610 Country Club Rd,50125,-93.565669,41.378517,9,Private,Open: 3/15 Closed: 11/01,3,10,36,3162,120,34.90,36,2948,116,33.90,35,2452,111,33.30
5329,Finkbine Golf Course,Iowa City,Iowa,W Melrose Ave,52242,-91.5768751,41.65707860000001,18,Public,Open: 4/01 Closed: 11/01,4,10,72,7030,132,73.90,72,6632,128,72.00,72,5414,123,73.10
5330,Pleasant Valley Golf Course,Iowa City,Iowa,4390 SE Sand Rd,52240,-91.5214061,41.6137883,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6472,127,71.60,72,6225,124,70.50,72,5067,111,68.40
5332,Meadow Hills Golf Course,Iowa Falls,Iowa,Old Hwy 20,50126,-93.2623603,42.4482609,9,Public,Open: 4/01 Closed: 11/01,4,10,35,2590,103,32.90,35,2449,100,32.00,35,2286,103,33.25
5338,Hyperion Field Club,Johnston,Iowa,7390 NW Beaver Dr,50131,-93.70701,41.69233,18,Private,Open: 3/01 Closed: 11/01,3,10,72,6423,127,72.10,72,6216,125,71.30,72,5403,123,72.30
5339,Kalona Golf Club,Kalona,Iowa,1376 Hwy 1,52247,-91.71182999999999,41.4565096,9,Semi-Private,Open: 4/01 Closed: 11/01,4,10,36,3128,123,36.10,36,2961,121,34.60,36,2291,114,35.20
5348,Rice Lake Golf & Country Club,Lake Mills,Iowa,43080 Golf Ave,50450,-93.50578519999999,43.3877189,18,Semi-Private,Open: 4/01 Closed: 11/01,4,10,71,6238,118,69.60,71,5902,113,68.10,72,5226,111,69.40
5357,Le Mars Golf Course,Le Mars,Iowa,935 Park Ln,51031,-96.1520187,42.8011802,18,Public,Open: 4/01 Closed: 11/01,4,10,72,6762,126,71.80,72,6232,124,68.80,72,5300,120,70.30
5359,Spring Valley Golf Course,Livermore,Iowa,1105 140th Ave,50558,-94.1889585,42.9287953,18,Public,Open: 4/01 Closed: 11/30,4,11,72,6421,117,70.20,72,6185,113,70.00,72,5467,108,69.20
5361,Glynn's Creek Golf Course,Long Grove,Iowa,19251 290th St,52756,-90.52439129999999,41.7277755,18,Public,Open: 4/01 Closed: 11/15,4,11,72,7036,131,73.50,72,6700,127,72.10,72,5435,109,70.60
5369,Willow Vale Golf Club,Mapleton,Iowa,W Main St,51034,-95.7888298,42.1659011,9,Public,Open: 4/01 Closed: 11/01,4,10,35,3219,118,35.20,35,3114,116,34.90,35,2623,121,35.10
5373,Hunters Ridge Golf Course,Marion,Iowa,2901 Hunters Ridge Rd,52302,-91.5823916,42.0749554,18,Public,Open: 4/01 Closed: 10/31,4,10,72,7007,132,74.10,72,6527,126,71.80,72,5090,118,71.20
